id,task1,task2,task3,task4,task5
ANS00159,0.0,1,0.0,2,0.0
ANS00160,1.0,1,0.0,4,0.0
ANS00161,1.0,1,2386.713352495428,0,0.0
ANS00162,0.0,0,678.7111695701429,0,0.0
ANS00163,1.0,0,0.0,3,0.0
ANS00164,0.0,2,4991.8936585697675,0,0.0
ANS00165,0.0,0,1816.0924758197466,0,0.0
ANS00166,0.0,3,114809.82247835692,2,0.0
ANS00167,1.0,0,1656.246626654604,2,0.0
ANS00168,0.0,2,0.0,4,0.0
ANS00169,0.0,3,0.0,2,0.0
ANS00170,0.0,2,0.0,0,0.0
ANS00171,0.0,0,0.0,1,0.0
ANS00172,1.0,0,97556.04455809886,3,0.0
ANS00173,0.0,3,0.0,0,0.0
ANS00174,0.0,2,0.0,2,0.0
ANS00175,1.0,3,64885.36820244495,3,0.0
ANS00176,1.0,0,2646.3698244814227,2,0.0
ANS00177,0.0,0,2968.6818304590906,2,0.0
ANS00178,0.0,0,0.0,3,0.0
ANS00179,0.0,3,0.0,2,0.0
ANS00180,1.0,1,57263.09415026099,2,0.0
ANS00181,0.0,3,0.0,2,0.0
ANS00182,0.0,2,2586.6631642482484,2,0.0
ANS00183,0.0,1,47437.300611514336,0,0.0
ANS00184,0.0,3,3153.70165551708,3,0.0
ANS00185,0.0,0,1241.4496817335755,3,0.0
ANS00186,0.0,0,0.0,1,0.0
ANS00187,0.0,3,0.0,0,0.0
ANS00188,1.0,3,77280.57711375464,3,0.0
ANS00189,0.0,2,118.18959559509916,2,0.0
ANS00190,0.0,2,0.0,2,0.0
ANS00191,0.0,3,30183.461468734466,1,0.0
ANS00192,1.0,0,112222.2369645525,3,0.0
ANS00193,0.0,0,1195.3327389620117,2,0.0
ANS00194,1.0,0,0.0,3,0.0
ANS00195,0.0,2,1729.2345372936495,0,0.0
ANS00196,1.0,1,0.0,3,0.0
ANS00197,0.0,2,0.0,3,0.0
ANS00198,0.0,0,0.0,3,0.0
ANS00199,0.0,3,0.0,1,0.0
ANS00200,0.0,0,0.0,0,0.0
ANS00201,1.0,1,5515.198273074661,0,0.0
ANS00202,0.0,1,1762.925450728878,3,0.0
ANS00203,1.0,2,0.0,0,0.0
ANS00204,1.0,3,0.0,3,0.0
ANS00205,1.0,0,4072.3908483314913,0,0.0
ANS00206,1.0,3,0.0,0,0.0
ANS00207,0.0,2,152412.4116143561,0,0.0
ANS00208,0.0,1,0.0,2,0.0
ANS00209,0.0,1,1627.3854107834304,2,0.0
ANS00210,1.0,0,3568.5807746391824,3,0.0
ANS00211,0.0,1,0.0,3,0.0
ANS00212,0.0,2,0.0,2,0.0
ANS00213,1.0,2,0.0,0,0.0
ANS00214,0.0,1,1833.9944461378232,4,0.0
ANS00215,1.0,3,2908.3837376089255,3,0.0
ANS00216,0.0,0,3089.7205035490333,2,0.0
ANS00217,1.0,2,0.0,0,0.0
ANS00218,1.0,0,0.0,2,0.0
ANS00219,0.0,1,1754.3059058810957,2,0.0
ANS00220,0.0,2,0.0,3,0.0
ANS00221,1.0,2,2729.251347122864,2,0.0
ANS00222,0.0,2,0.0,3,0.0
ANS00223,0.0,0,42064.01609368381,2,0.0
ANS00224,0.0,2,0.0,0,0.0
ANS00225,1.0,1,11530.696365750498,2,0.0
ANS00226,1.0,2,175843.83962965375,3,0.0
ANS00227,1.0,3,0.0,0,0.0
ANS00228,1.0,2,125275.59636737776,1,0.0
ANS00229,1.0,2,0.0,3,0.0
ANS00230,1.0,1,0.0,3,0.0
ANS00231,0.0,0,1606.4798548236631,3,0.0
ANS00232,0.0,0,0.0,2,0.0
ANS00233,0.0,0,66109.1902700195,2,0.0
ANS00234,0.0,1,0.0,0,0.0
ANS00235,0.0,1,0.0,2,0.0
ANS00236,0.0,0,720.190652437143,3,0.0
ANS00237,0.0,0,1803.0163906102075,0,0.0
ANS00238,0.0,2,0.0,4,0.0
ANS00239,0.0,3,0.0,1,0.0
ANS00240,0.0,0,0.0,4,0.0
ANS00241,0.0,3,1426.3925124840653,4,0.0
ANS00242,1.0,1,0.0,0,0.0
ANS00243,1.0,3,5378.691936732819,2,0.0
ANS00244,1.0,3,83494.82888989127,0,0.0
ANS00245,1.0,0,0.0,0,0.0
ANS00246,0.0,2,0.0,2,0.0
ANS00247,1.0,0,0.0,0,0.0
ANS00248,1.0,1,0.0,0,0.0
ANS00249,0.0,2,0.0,0,0.0
ANS00250,1.0,3,0.0,4,0.0
ANS00251,0.0,0,0.0,0,0.0
ANS00252,0.0,0,137107.05129517766,3,0.0
ANS00253,0.0,2,0.0,0,0.0
ANS00254,1.0,0,0.0,0,0.0
ANS00255,0.0,1,0.0,2,0.0
ANS00256,0.0,0,0.0,0,0.0
ANS00257,0.0,3,2874.936788027995,3,0.0
ANS00258,0.0,1,4762.089405895395,4,0.0
ANS00259,1.0,0,1559.4013239661608,2,0.0
ANS00260,1.0,1,0.0,0,1.0
ANS00261,0.0,1,1873.4165260275463,0,1.0
ANS00262,1.0,2,0.0,2,1.0
ANS00263,0.0,1,0.0,0,1.0
ANS00264,1.0,0,0.0,0,1.0
ANS00265,1.0,0,10142.471069772064,3,1.0
ANS00266,1.0,2,2080.2345967374486,4,1.0
ANS00267,1.0,3,2637.700247021578,0,1.0
ANS00268,1.0,1,23194.5307069735,2,1.0
ANS00269,1.0,2,2077.5201423000235,0,1.0
ANS00270,0.0,1,6548.060937780138,3,1.0
ANS00271,1.0,0,80237.82318566774,0,1.0
ANS00272,0.0,3,1841.9856121405014,3,1.0
ANS00273,0.0,1,51395.10629805231,2,1.0
ANS00274,1.0,0,1981.9056240007926,2,1.0
ANS00275,1.0,1,983.9083203920796,0,1.0
ANS00276,1.0,2,0.0,1,1.0
ANS00277,0.0,3,0.0,2,1.0
ANS00278,1.0,1,0.0,2,1.0
ANS00279,0.0,0,902.3631998239526,3,1.0
ANS00280,1.0,0,1783.3070504921923,2,1.0
ANS00281,0.0,0,334.1499542625795,2,1.0
ANS00282,1.0,2,2235.573680695494,3,1.0
ANS00283,0.0,2,0.0,4,1.0
ANS00284,1.0,3,0.0,4,1.0
ANS00285,1.0,1,160918.70814194655,0,1.0
ANS00286,1.0,2,0.0,2,1.0
ANS00287,1.0,3,0.0,0,1.0
ANS00288,1.0,2,0.0,3,1.0
ANS00289,1.0,1,4976.9076479929245,3,1.0
ANS00290,1.0,0,931.2772713708018,3,1.0
ANS00291,1.0,3,0.0,2,1.0
ANS00292,0.0,1,2624.2426776594016,0,1.0
ANS00293,0.0,3,0.0,0,1.0
ANS00294,0.0,1,0.0,2,1.0
ANS00295,1.0,1,67847.36159936208,0,1.0
ANS00296,1.0,0,16339.059464887849,2,1.0
ANS00297,0.0,0,4589.063824459177,1,1.0
ANS00298,1.0,1,94633.55630642554,0,1.0
ANS00299,0.0,1,3412.639443096571,2,1.0
ANS00300,1.0,3,4099.314864734846,0,1.0
ANS00301,1.0,2,0.0,3,1.0
ANS00302,1.0,0,2329.4943189186197,0,1.0
ANS00303,0.0,0,0.0,2,1.0
ANS00304,1.0,1,0.0,3,1.0
ANS00305,1.0,3,1901.5094740611312,0,1.0
ANS00306,0.0,0,0.0,3,1.0
ANS00307,0.0,0,0.0,1,1.0
ANS00308,1.0,1,0.0,0,1.0
ANS00309,1.0,2,75554.66947931485,0,1.0
ANS00310,1.0,0,5667.161460150455,2,1.0
ANS00311,0.0,0,85643.29043700358,0,1.0
ANS00312,1.0,3,3997.3966401735192,2,1.0
ANS00313,0.0,0,0.0,2,1.0
ANS00314,0.0,0,170096.2407557498,0,1.0
ANS00315,0.0,1,0.0,0,1.0
ANS00316,1.0,1,96339.3202443702,2,1.0
ANS00317,1.0,0,2431.9057926952064,2,1.0
ANS00318,1.0,0,0.0,2,1.0
ANS00319,1.0,0,152.84563153176424,4,1.0
ANS00320,0.0,2,2402.3201514363323,3,1.0
ANS00321,1.0,0,0.0,3,1.0
ANS00322,1.0,2,0.0,2,1.0
ANS00323,0.0,2,0.0,0,1.0
ANS00324,0.0,0,1262.837102699989,1,1.0
ANS00325,0.0,1,2089.852363441798,0,1.0
ANS00326,0.0,0,1571.5017289633402,2,1.0
ANS00327,0.0,1,3386.23580233176,2,1.0
ANS00328,0.0,3,3597.0371159112756,2,1.0
ANS00329,1.0,1,0.0,1,1.0
ANS00330,0.0,2,0.0,3,1.0
ANS00331,0.0,3,2437.8213615720024,3,1.0
ANS00332,0.0,3,141512.62637424388,3,1.0
ANS00333,1.0,0,0.0,2,1.0
ANS00334,1.0,2,2183.7405882237636,0,1.0
ANS00335,1.0,2,0.0,0,1.0
ANS00336,1.0,1,0.0,2,1.0
ANS00337,0.0,0,0.0,2,1.0
ANS00338,0.0,0,2557.4673766988353,2,1.0
ANS00339,0.0,2,114484.32667380256,0,1.0
ANS00340,0.0,1,5675.849473225939,2,1.0
ANS00341,1.0,2,3276.2187655966954,2,1.0
ANS00342,0.0,0,1860.8083968073581,0,1.0
ANS00343,0.0,0,0.0,2,1.0
ANS00344,1.0,2,0.0,0,1.0
ANS00345,1.0,3,90332.31050962467,3,1.0
ANS00346,1.0,3,0.0,0,1.0
ANS00347,0.0,2,3275.10631227652,0,1.0
ANS00348,1.0,1,0.0,2,1.0
ANS00349,0.0,0,32655.612559568428,3,1.0
ANS00350,0.0,2,3733.8321064650836,0,1.0
ANS00351,0.0,3,0.0,4,1.0
ANS00352,0.0,1,6932.288481990102,0,1.0
ANS00353,1.0,3,3590.6056477930792,2,1.0
ANS00354,1.0,3,0.0,0,1.0
ANS00355,0.0,2,0.0,2,1.0
ANS00356,1.0,0,1924.4671800911551,3,1.0
ANS00357,1.0,0,0.0,3,1.0
ANS00358,0.0,1,0.0,2,1.0
ANS00359,0.0,0,250.46592929828714,0,1.0
ANS00360,1.0,2,0.0,1,1.0
ANS00361,1.0,2,3908.4855811735515,3,1.0
ANS00362,0.0,1,9218.806991266343,0,1.0
ANS00363,1.0,1,0.0,0,1.0
ANS00364,1.0,0,0.0,2,1.0
ANS00365,0.0,0,3510.643147848789,1,1.0
ANS00366,1.0,0,0.0,3,1.0
ANS00367,1.0,0,0.0,0,1.0
ANS00368,0.0,0,187.95348137851107,0,1.0
ANS00369,1.0,1,0.0,0,1.0
ANS00370,0.0,0,0.0,3,1.0
ANS00371,1.0,0,4733.530764325109,0,1.0
ANS00372,1.0,2,2087.051684826006,4,1.0
ANS00373,0.0,1,0.0,4,1.0
ANS00374,0.0,0,60907.73074563451,2,1.0
ANS00375,1.0,1,0.0,4,1.0
ANS00376,0.0,1,0.0,2,1.0
ANS00377,0.0,3,0.0,2,1.0
ANS00378,1.0,0,0.0,0,1.0
ANS00379,1.0,0,0.0,3,1.0
ANS00380,0.0,0,1785.9150281882435,0,1.0
ANS00381,0.0,1,21499.449576901367,3,1.0
ANS00382,1.0,3,0.0,2,1.0
ANS00383,1.0,0,2461.6360432071197,2,1.0
ANS00384,1.0,0,4161.022640862116,3,1.0
ANS00385,1.0,3,102858.04215156774,2,1.0
ANS00386,1.0,0,0.0,3,1.0
ANS00387,0.0,0,0.0,0,1.0
ANS00388,1.0,3,1547.1348988385646,2,1.0
ANS00389,0.0,0,3405.283438583806,2,1.0
ANS00390,0.0,3,4067.8715800603304,2,1.0
ANS00391,1.0,3,0.0,0,1.0
ANS00392,0.0,0,131398.22452755313,3,1.0
ANS00393,1.0,2,0.0,3,1.0
ANS00394,1.0,1,2662.915365244622,2,1.0
ANS00395,1.0,2,2631.41156813503,2,1.0
ANS00396,1.0,1,0.0,0,1.0
ANS00397,0.0,0,0.0,3,1.0
ANS00398,0.0,0,109592.37908043839,4,1.0
ANS00399,0.0,0,1270.2647420470576,3,1.0
ANS00400,1.0,0,0.0,2,1.0
ANS00401,1.0,0,1290.9469467015576,2,1.0
ANS00402,0.0,1,1292.8969776917775,3,1.0
ANS00403,1.0,2,1273.340609137581,2,1.0
ANS00404,0.0,1,5375.491473318723,0,1.0
ANS00405,0.0,1,0.0,0,1.0
ANS00406,0.0,1,4450.176529835709,4,1.0
ANS00407,1.0,2,0.0,2,1.0
ANS00408,0.0,0,0.0,3,1.0
ANS00409,0.0,3,0.0,2,1.0
ANS00410,0.0,0,2841.494812991347,3,1.0
ANS00411,0.0,0,2378.1633820550633,0,1.0
ANS00412,0.0,3,0.0,4,1.0
ANS00413,0.0,0,1874.752326205188,3,1.0
ANS00414,1.0,0,0.0,2,1.0
ANS00415,1.0,0,0.0,4,1.0
ANS00416,0.0,0,2662.447952845324,1,1.0
ANS00417,0.0,2,2265.0593962873513,3,1.0
ANS00418,0.0,0,0.0,0,1.0
ANS00419,0.0,0,28921.61000999638,0,1.0
ANS00420,0.0,1,0.0,3,1.0
ANS00421,1.0,1,1610.7326811053445,2,1.0
ANS00422,0.0,0,0.0,2,1.0
ANS00423,0.0,0,0.0,3,1.0
ANS00424,0.0,3,58776.64285762958,2,1.0
ANS00425,0.0,0,0.0,3,1.0
ANS00426,0.0,2,0.0,3,1.0
ANS00427,0.0,0,0.0,2,1.0
ANS00428,0.0,0,3435.7893167406573,2,1.0
ANS00429,0.0,3,5132.705084961246,2,1.0
ANS00430,0.0,0,2562.040254817125,3,1.0
ANS00431,0.0,0,0.0,3,1.0
ANS00432,1.0,3,1913.236389699441,2,1.0
ANS00433,0.0,0,3798.2554285394463,2,1.0
ANS00434,0.0,0,2940.8151682228035,0,1.0
ANS00435,1.0,1,0.0,3,1.0
ANS00436,0.0,0,2452.7078038816044,2,1.0
ANS00437,1.0,1,5539.894306323937,0,1.0
ANS00438,1.0,3,75510.80041947452,2,1.0
ANS00439,0.0,1,0.0,0,1.0
ANS00440,1.0,0,0.0,0,1.0
ANS00441,1.0,0,0.0,4,1.0
ANS00442,0.0,0,0.0,3,1.0
ANS00443,0.0,0,0.0,2,1.0
ANS00444,1.0,1,0.0,0,1.0
ANS00445,1.0,3,0.0,2,1.0
ANS00446,0.0,2,5445.522760228863,1,1.0
ANS00447,0.0,0,1443.1086714422152,4,1.0
ANS00448,0.0,0,0.0,2,1.0
ANS00449,0.0,3,5627.789454723652,0,1.0
ANS00450,1.0,0,0.0,1,1.0
ANS00451,0.0,3,0.0,0,1.0
ANS00452,0.0,0,0.0,0,1.0
ANS00453,1.0,3,0.0,3,1.0
ANS00454,1.0,1,0.0,3,1.0
ANS00455,0.0,0,2035.2895108208584,3,1.0
ANS00456,1.0,1,0.0,1,1.0
ANS00457,1.0,2,2871.5994800407425,3,1.0
ANS00458,0.0,0,0.0,2,1.0
ANS00459,1.0,0,1110.1117389676551,0,1.0
ANS00460,1.0,1,0.0,3,1.0
ANS00461,0.0,1,0.0,3,1.0
ANS00462,1.0,3,2722.069195981027,0,1.0
ANS00463,0.0,3,0.0,2,1.0
ANS00464,0.0,0,0.0,2,1.0
ANS00465,1.0,2,23368.765179038764,3,1.0
ANS00466,0.0,1,2335.182041540119,0,1.0
ANS00467,0.0,1,781.3893932551082,2,1.0
ANS00468,1.0,0,78.78780628963392,4,1.0
ANS00469,0.0,3,0.0,2,1.0
ANS00470,0.0,0,0.0,2,1.0
ANS00471,1.0,0,29985.574934098157,0,1.0
ANS00472,1.0,0,0.0,0,1.0
ANS00473,0.0,0,0.0,3,1.0
ANS00474,0.0,0,0.0,0,1.0
ANS00475,0.0,0,0.0,0,1.0
ANS00476,1.0,1,2281.1264695467135,3,1.0
ANS00477,0.0,2,0.0,3,1.0
ANS00478,0.0,3,98250.5187722739,0,1.0
ANS00479,1.0,3,3283.8692830649566,3,1.0
ANS00480,1.0,1,5526.852399750843,3,1.0
ANS00481,1.0,2,2047.1855981923802,3,1.0
ANS00482,0.0,2,0.0,0,1.0
ANS00483,1.0,1,0.0,4,1.0
ANS00484,0.0,2,0.0,2,1.0
ANS00485,0.0,1,3159.9264780978674,4,1.0
ANS00486,0.0,1,4017.941206940275,3,1.0
ANS00487,0.0,3,712.3981995381313,0,1.0
ANS00488,1.0,1,186436.24112064583,2,1.0
ANS00489,0.0,0,1444.0172266957265,0,1.0
ANS00490,0.0,0,3469.2546662858344,3,1.0
ANS00491,1.0,2,0.0,1,1.0
ANS00492,1.0,2,0.0,0,1.0
ANS00493,1.0,0,0.0,2,1.0
ANS00494,0.0,1,0.0,3,1.0
ANS00495,1.0,3,0.0,3,1.0
ANS00496,1.0,0,2219.324361884948,2,1.0
ANS00497,1.0,0,8075.844585538065,3,1.0
ANS00498,1.0,1,2200.6352987738624,2,1.0
ANS00499,1.0,2,3865.8619564895885,0,1.0
ANS00500,0.0,2,1147.1514015652913,1,1.0
ANS00501,0.0,0,4684.328702564939,2,1.0
ANS00502,0.0,0,3331.5470050092526,3,1.0
ANS00503,0.0,0,3061.8686979366366,2,1.0
ANS00504,0.0,1,5167.219058303979,2,1.0
ANS00505,0.0,3,4999.95201073702,0,1.0
ANS00506,1.0,2,0.0,1,1.0
ANS00507,0.0,2,0.0,3,1.0
ANS00508,0.0,0,2394.5674387045688,1,1.0
ANS00509,1.0,2,0.0,3,1.0
ANS00510,1.0,0,1684.971278487906,0,1.0
ANS00511,1.0,1,0.0,0,1.0
ANS00512,0.0,2,918.6452159366982,3,1.0
ANS00513,1.0,1,0.0,3,1.0
ANS00514,0.0,3,5621.201369952677,2,1.0
ANS00515,1.0,2,325.69117089313215,2,1.0
ANS00516,0.0,1,2710.661510969886,3,1.0
ANS00517,0.0,3,0.0,3,1.0
ANS00518,1.0,2,1160.3675319066408,2,1.0
ANS00519,0.0,2,0.0,0,1.0
ANS00520,1.0,2,0.0,0,1.0
ANS00521,0.0,0,3292.313333795778,0,1.0
ANS00522,0.0,1,0.0,2,1.0
ANS00523,0.0,3,0.0,3,1.0
ANS00524,0.0,3,497.0713935424942,0,1.0
ANS00525,0.0,3,0.0,0,1.0
ANS00526,0.0,1,0.0,3,1.0
ANS00527,0.0,0,2752.048270716541,0,1.0
ANS00528,1.0,2,0.0,2,1.0
ANS00529,0.0,0,5570.83486665129,0,1.0
ANS00530,0.0,0,68426.66795644721,0,1.0
ANS00531,1.0,3,0.0,4,1.0
ANS00532,0.0,1,0.0,0,1.0
ANS00533,0.0,3,38492.280907201835,3,1.0
ANS00534,0.0,0,0.0,0,1.0
ANS00535,0.0,3,72089.36071288402,0,1.0
ANS00536,1.0,1,0.0,2,1.0
ANS00537,1.0,2,42681.23728742096,3,1.0
ANS00538,0.0,1,0.0,2,1.0
ANS00539,0.0,0,0.0,2,1.0
ANS00540,0.0,0,142.94501700377384,2,1.0
ANS00541,1.0,0,0.0,2,1.0
ANS00542,1.0,0,2079.2940046757,2,1.0
ANS00543,0.0,1,0.0,0,1.0
ANS00544,1.0,1,0.0,1,1.0
ANS00545,1.0,1,2164.4008947230773,0,1.0
ANS00546,0.0,0,0.0,3,1.0
ANS00547,0.0,0,0.0,2,1.0
ANS00548,0.0,1,3542.9340629831427,2,1.0
ANS00549,1.0,3,0.0,3,1.0
ANS00550,0.0,1,5718.66052528774,0,1.0
ANS00551,0.0,2,0.0,2,1.0
ANS00552,0.0,1,0.0,2,1.0
ANS00553,1.0,0,3195.9331631839473,0,1.0
ANS00554,0.0,3,0.0,3,1.0
ANS00555,0.0,0,0.0,0,1.0
ANS00556,0.0,2,0.0,3,1.0
ANS00557,1.0,0,0.0,0,1.0
ANS00558,0.0,0,25524.89075383564,2,1.0
ANS00559,0.0,3,0.0,1,1.0
ANS00560,1.0,3,0.0,0,1.0
ANS00561,1.0,1,0.0,0,1.0
ANS00562,0.0,1,2171.2025940665726,2,1.0
ANS00563,0.0,0,71922.62706358751,3,1.0
ANS00564,1.0,1,0.0,2,1.0
ANS00565,0.0,3,1516.6484088975706,3,1.0
ANS00566,1.0,1,0.0,0,1.0
ANS00567,0.0,1,56337.72770904273,2,1.0
ANS00568,1.0,3,1075.9947247552839,2,1.0
ANS00569,0.0,0,3278.1414499881935,2,1.0
ANS00570,1.0,2,0.0,0,1.0
ANS00571,0.0,2,0.0,3,1.0
ANS00572,0.0,1,0.0,0,1.0
ANS00573,0.0,1,0.0,0,1.0
ANS00574,1.0,1,0.0,0,1.0
ANS00575,0.0,1,0.0,2,1.0
ANS00576,0.0,0,1265.8641895129106,4,1.0
ANS00577,0.0,0,0.0,0,1.0
ANS00578,1.0,2,0.0,2,1.0
