,0
1159,0
1160,1
1161,1
1162,0
1163,0
1164,0
1165,1
1166,2
1167,2
1168,1
1169,0
1170,2
1171,3
1172,3
1173,0
1174,0
1175,2
1176,0
1177,0
1178,0
1179,0
1180,2
1181,3
1182,1
1183,2
1184,0
1185,2
1186,0
1187,0
1188,2
1189,0
1190,0
1191,3
1192,3
1193,0
1194,0
1195,3
1196,3
1197,0
1198,3
1199,0
1200,3
1201,0
1202,3
1203,0
1204,1
1205,0
1206,0
1207,3
1208,0
1209,0
1210,1
1211,0
1212,1
1213,0
1214,0
1215,0
1216,2
1217,1
1218,0
1219,0
1220,0
1221,2
1222,2
1223,2
1224,3
1225,0
1226,2
1227,2
1228,3
1229,1
1230,0
1231,3
1232,0
1233,1
1234,0
1235,2
1236,3
1237,2
1238,0
1239,1
1240,1
1241,0
1242,2
1243,0
1244,1
1245,0
1246,0
1247,0
1248,0
1249,2
1250,0
1251,0
1252,0
1253,0
1254,3
1255,1
1256,1
1257,0
1258,3
1259,1
1260,0
1261,0
1262,1
1263,0
1264,2
1265,0
1266,2
1267,2
1268,2
1269,1
1270,3
1271,2
1272,1
1273,0
1274,0
1275,3
1276,2
1277,2
1278,1
1279,1
1280,1
1281,0
1282,0
1283,1
1284,2
1285,3
1286,0
1287,1
1288,0
1289,0
1290,0
1291,1
1292,0
1293,0
1294,3
1295,1
1296,0
1297,0
1298,1
1299,1
1300,0
1301,0
1302,2
1303,3
1304,2
1305,0
1306,0
1307,0
1308,1
1309,1
1310,0
1311,0
1312,1
1313,1
1314,3
1315,0
1316,2
1317,0
1318,0
1319,2
1320,0
1321,0
1322,2
1323,1
1324,1
1325,1
1326,0
1327,1
1328,2
1329,0
1330,0
1331,0
1332,0
1333,0
1334,3
1335,0
1336,0
1337,3
1338,2
1339,2
1340,0
1341,2
1342,3
1343,0
1344,1
1345,0
1346,0
1347,2
1348,0
1349,2
1350,2
1351,3
1352,2
1353,2
1354,2
1355,0
1356,0
1357,2
1358,2
1359,0
1360,1
1361,2
1362,0
1363,2
1364,2
1365,0
1366,0
1367,1
1368,0
1369,2
1370,0
1371,2
1372,2
1373,1
1374,0
1375,0
1376,0
1377,0
1378,1
1379,2
1380,3
1381,0
1382,3
1383,0
1384,3
1385,0
1386,1
1387,1
1388,1
1389,1
1390,0
1391,2
1392,2
1393,3
1394,1
1395,3
1396,0
1397,0
1398,2
1399,0
1400,3
1401,1
1402,0
1403,1
1404,2
1405,2
1406,1
1407,3
1408,1
1409,3
1410,1
1411,0
1412,0
1413,1
1414,0
1415,2
1416,1
1417,0
1418,3
1419,3
1420,3
1421,3
1422,0
1423,0
1424,1
1425,0
1426,2
1427,0
1428,0
1429,1
1430,3
1431,2
1432,1
1433,3
1434,2
1435,1
1436,2
1437,0
1438,3
1439,0
1440,3
1441,2
1442,2
1443,0
1444,0
1445,3
1446,1
1447,3
1448,1
1449,0
1450,3
1451,2
1452,0
1453,0
1454,1
1455,2
1456,0
1457,1
1458,0
1459,1
1460,0
1461,0
1462,2
1463,2
1464,3
1465,0
1466,3
1467,0
1468,0
1469,1
1470,1
1471,2
1472,0
1473,1
1474,0
1475,3
1476,1
1477,0
1478,0
1479,0
1480,3
1481,0
1482,3
1483,2
1484,0
1485,0
1486,3
1487,2
1488,0
1489,2
1490,0
1491,3
1492,0
1493,2
1494,2
1495,3
1496,1
1497,1
1498,0
1499,2
1500,2
1501,3
1502,1
1503,0
1504,0
1505,3
1506,1
1507,0
1508,3
1509,1
1510,2
1511,0
1512,1
1513,1
1514,1
1515,0
1516,3
1517,2
1518,3
1519,0
1520,1
1521,0
1522,1
1523,0
1524,0
1525,2
1526,0
1527,0
1528,1
1529,1
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,3
1539,2
1540,3
1541,0
1542,1
1543,0
1544,0
1545,2
1546,1
1547,3
1548,1
1549,2
1550,1
1551,0
1552,0
1553,0
1554,3
1555,1
1556,1
1557,1
1558,0
1559,1
1560,1
1561,0
1562,0
1563,0
1564,0
1565,3
1566,2
1567,1
1568,1
1569,1
1570,0
1571,0
1572,2
1573,1
1574,3
1575,0
1576,0
1577,3
1578,1
1579,2
1580,1
1581,1
1582,3
1583,0
1584,0
1585,2
1586,3
1587,1
1588,3
1589,1
1590,2
1591,1
1592,3
1593,1
1594,1
1595,1
1596,2
1597,1
1598,1
1599,1
1600,2
1601,0
1602,3
1603,0
1604,2
1605,0
1606,2
1607,0
1608,3
1609,2
1610,1
1611,2
1612,0
1613,1
1614,2
1615,3
1616,3
1617,1
1618,0
1619,2
1620,0
1621,0
1622,1
1623,0
1624,3
1625,3
1626,2
1627,1
1628,1
1629,2
1630,0
1631,0
1632,1
1633,0
1634,0
1635,1
1636,0
1637,2
1638,0
1639,2
1640,1
1641,2
1642,0
1643,2
1644,0
1645,0
1646,0
1647,1
1648,1
1649,1
1650,3
1651,0
1652,0
1653,1
1654,0
1655,1
1656,0
1657,1
1658,3
1659,3
1660,0
1661,0
1662,1
1663,1
1664,0
1665,0
1666,3
1667,3
1668,3
1669,3
1670,3
1671,0
1672,0
1673,3
1674,0
1675,0
1676,1
1677,3
1678,0
1679,0
1680,1
1681,0
1682,0
1683,1
1684,0
1685,0
1686,2
1687,2
1688,3
1689,1
1690,1
1691,1
1692,2
1693,1
1694,2
1695,2
1696,0
1697,1
1698,0
1699,1
1700,0
1701,3
1702,3
1703,1
1704,0
1705,1
1706,2
1707,3
1708,3
1709,1
1710,1
1711,0
1712,1
1713,3
1714,3
1715,3
1716,2
1717,0
1718,0
1719,0
1720,1
1721,0
1722,0
1723,0
1724,3
1725,0
1726,0
1727,0
1728,3
1729,0
1730,2
1731,0
1732,1
1733,3
1734,1
1735,3
1736,0
1737,2
1738,0
1739,1
1740,2
1741,1
1742,0
1743,0
1744,0
1745,0
1746,0
1747,1
1748,0
1749,3
1750,0
1751,2
1752,0
1753,0
1754,0
1755,3
1756,2
1757,2
1758,2
1759,3
1760,1
1761,3
1762,0
1763,1
1764,0
1765,0
1766,0
1767,3
1768,1
1769,2
1770,1
1771,1
1772,2
1773,0
1774,2
1775,3
1776,0
1777,3
1778,1
1779,2
1780,2
1781,3
1782,2
1783,2
1784,3
1785,0
1786,0
1787,0
1788,0
1789,0
1790,1
1791,0
1792,0
1793,2
1794,2
1795,2
1796,0
1797,0
1798,2
1799,2
1800,1
1801,0
1802,0
1803,0
1804,3
1805,0
1806,3
1807,2
1808,0
1809,3
1810,0
1811,0
1812,0
1813,3
1814,0
1815,0
1816,1
1817,0
1818,2
1819,0
1820,1
1821,2
1822,2
1823,0
1824,2
1825,0
1826,0
1827,3
1828,0
1829,1
1830,0
1831,0
1832,2
1833,3
1834,1
1835,2
1836,0
1837,0
1838,1
1839,0
1840,1
1841,3
1842,2
1843,0
1844,3
1845,2
1846,2
1847,2
1848,1
1849,1
1850,0
1851,0
1852,2
1853,3
1854,3
1855,3
1856,2
1857,1
1858,0
1859,0
1860,0
1861,2
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,1
1870,0
1871,0
1872,1
1873,3
1874,2
1875,3
1876,0
1877,0
1878,0
1879,0
1880,1
1881,3
1882,3
1883,1
1884,1
1885,3
1886,3
1887,3
1888,0
1889,2
1890,2
1891,0
1892,0
1893,0
1894,1
1895,2
1896,1
1897,2
1898,0
1899,0
1900,3
1901,2
1902,0
1903,1
1904,0
1905,1
1906,2
1907,1
1908,0
1909,0
1910,0
1911,0
1912,2
1913,3
1914,1
1915,0
1916,1
1917,0
1918,0
1919,0
1920,0
1921,1
1922,2
1923,3
1924,0
1925,0
1926,1
1927,0
1928,1
1929,0
1930,1
1931,3
1932,2
1933,0
1934,0
1935,0
1936,1
1937,2
1938,2
1939,0
1940,0
1941,0
1942,3
1943,2
1944,0
1945,1
1946,3
1947,2
1948,3
1949,0
1950,0
1951,3
1952,0
1953,0
1954,2
1955,2
1956,1
1957,1
1958,0
1959,2
1960,2
1961,0
1962,0
1963,0
1964,1
1965,2
1966,0
1967,0
1968,0
1969,3
1970,1
1971,1
1972,1
1973,0
1974,0
1975,1
1976,0
1977,0
1978,2
1979,2
1980,1
1981,0
1982,2
1983,0
1984,1
1985,2
1986,3
1987,3
1988,2
1989,0
1990,0
1991,1
1992,2
1993,3
1994,0
1995,0
1996,3
1997,1
1998,2
1999,0
2000,3
2001,1
2002,2
2003,1
2004,0
2005,0
2006,0
2007,2
2008,1
2009,2
2010,0
2011,2
2012,0
2013,2
2014,1
2015,2
2016,2
2017,3
2018,2
2019,1
2020,1
2021,2
2022,2
2023,2
2024,0
2025,0
2026,3
2027,0
2028,2
2029,1
2030,2
2031,1
2032,0
2033,0
2034,0
2035,2
2036,0
2037,0
2038,1
2039,0
2040,0
2041,0
2042,0
2043,2
2044,1
2045,1
2046,0
2047,0
2048,0
2049,1
2050,1
2051,1
2052,1
2053,1
2054,0
2055,0
2056,0
2057,1
2058,0
2059,3
2060,2
2061,1
2062,1
2063,1
2064,0
2065,0
2066,0
2067,2
2068,1
2069,2
2070,1
2071,0
2072,3
2073,0
2074,0
2075,2
2076,1
2077,0
2078,0
2079,3
2080,2
2081,0
2082,2
2083,0
2084,2
2085,0
2086,1
2087,0
2088,2
2089,3
2090,1
2091,1
2092,0
2093,0
2094,1
2095,2
2096,3
2097,0
2098,0
2099,0
2100,1
2101,0
2102,2
2103,0
2104,0
2105,2
2106,0
2107,2
2108,0
2109,1
2110,0
2111,0
2112,2
2113,0
2114,2
2115,2
2116,3
2117,0
2118,3
2119,0
2120,3
2121,3
2122,0
2123,0
2124,0
2125,0
2126,2
2127,2
2128,2
2129,3
2130,1
2131,1
2132,1
2133,0
2134,0
2135,0
2136,1
2137,0
2138,1
2139,0
2140,0
2141,0
2142,1
2143,1
2144,2
2145,3
2146,0
2147,1
2148,0
2149,0
2150,0
2151,0
2152,2
2153,0
2154,0
2155,3
2156,1
2157,2
2158,0
2159,1
2160,0
2161,3
2162,0
2163,0
2164,0
2165,3
2166,1
2167,1
2168,1
2169,2
2170,3
2171,0
2172,1
2173,0
2174,1
2175,2
2176,3
2177,0
2178,0
2179,0
2180,1
2181,2
2182,1
2183,2
2184,0
2185,0
2186,1
2187,1
2188,0
2189,0
2190,2
2191,2
2192,0
2193,1
2194,0
2195,2
2196,1
2197,1
2198,2
2199,0
2200,1
2201,3
2202,2
2203,3
2204,1
2205,2
2206,0
2207,1
2208,0
2209,0
2210,0
2211,0
2212,1
2213,3
2214,3
2215,2
2216,2
2217,1
2218,3
2219,0
2220,0
2221,0
2222,3
2223,1
2224,0
2225,0
2226,2
2227,1
2228,3
2229,2
2230,2
2231,2
2232,1
2233,0
2234,0
2235,0
2236,0
2237,2
2238,0
2239,0
2240,3
2241,0
2242,0
2243,0
2244,1
2245,2
2246,0
2247,0
2248,0
2249,0
2250,1
2251,0
2252,1
2253,0
2254,0
2255,2
2256,0
2257,0
2258,0
2259,1
2260,3
2261,0
2262,1
2263,2
2264,1
2265,3
2266,0
2267,0
2268,2
2269,3
2270,1
2271,0
2272,1
2273,2
2274,0
2275,1
2276,1
2277,3
2278,0
2279,3
2280,3
2281,0
2282,1
2283,1
2284,0
2285,1
2286,0
2287,2
2288,0
2289,1
2290,1
2291,1
2292,2
2293,1
2294,1
2295,2
2296,0
2297,3
2298,3
2299,2
2300,2
2301,0
2302,0
2303,0
2304,1
2305,2
2306,1
2307,2
2308,2
2309,0
2310,3
2311,1
2312,1
2313,0
2314,0
2315,0
2316,1
2317,1
2318,1
2319,3
2320,1
2321,0
2322,0
2323,2
2324,0
2325,0
2326,0
2327,0
2328,3
2329,2
2330,0
2331,3
2332,1
2333,3
2334,0
2335,0
2336,0
2337,1
2338,1
2339,1
2340,3
2341,1
2342,2
2343,1
2344,3
2345,2
2346,2
2347,2
2348,0
2349,1
2350,0
2351,2
2352,2
2353,3
2354,0
2355,0
2356,3
2357,3
2358,1
2359,2
2360,2
2361,0
2362,0
2363,3
2364,0
2365,0
2366,3
2367,0
2368,0
2369,1
2370,3
2371,2
2372,1
2373,1
2374,1
2375,1
2376,0
2377,0
2378,0
2379,2
2380,1
2381,0
2382,2
2383,1
2384,2
2385,0
2386,1
2387,1
2388,0
2389,2
2390,1
2391,3
2392,0
2393,2
2394,1
2395,3
2396,0
2397,2
2398,0
2399,2
2400,3
2401,0
2402,0
2403,1
2404,3
2405,3
2406,3
2407,2
2408,1
2409,0
2410,0
2411,1
2412,0
2413,1
2414,2
2415,1
2416,1
2417,2
2418,0
2419,0
2420,2
2421,2
2422,2
2423,2
2424,0
2425,3
2426,1
2427,0
2428,2
2429,3
2430,3
2431,3
2432,3
2433,2
2434,0
2435,2
2436,2
2437,1
2438,3
2439,2
2440,0
2441,0
2442,2
2443,1
2444,0
2445,1
2446,2
2447,0
2448,1
2449,2
2450,3
2451,3
2452,0
2453,2
2454,0
2455,3
2456,0
2457,0
2458,2
2459,2
2460,0
2461,3
2462,1
2463,0
2464,3
2465,1
2466,1
2467,1
2468,2
2469,1
2470,0
2471,1
2472,0
2473,2
2474,0
2475,0
2476,0
2477,0
2478,3
2479,1
2480,1
2481,1
2482,0
2483,2
2484,0
2485,3
2486,3
2487,0
2488,0
2489,3
2490,0
2491,0
2492,1
2493,3
2494,3
2495,0
2496,1
2497,0
2498,2
2499,0
2500,0
2501,0
2502,0
2503,3
2504,2
2505,0
2506,2
2507,3
2508,0
2509,0
2510,1
2511,3
2512,2
2513,0
2514,2
2515,0
2516,3
2517,0
2518,2
2519,0
2520,0
2521,3
2522,3
2523,2
2524,0
2525,2
2526,1
2527,2
2528,0
2529,3
2530,1
2531,3
2532,0
2533,0
2534,1
2535,0
2536,3
2537,1
2538,0
2539,0
2540,1
2541,2
2542,3
2543,1
2544,3
2545,3
2546,2
2547,0
2548,0
2549,1
2550,2
2551,0
2552,1
2553,2
2554,1
2555,1
2556,0
2557,1
2558,0
2559,3
2560,1
2561,2
2562,3
2563,0
2564,1
2565,0
2566,0
2567,0
2568,0
2569,0
2570,1
2571,0
2572,2
2573,0
2574,1
2575,0
2576,0
2577,0
2578,0
2579,0
2580,1
2581,3
2582,0
2583,0
2584,0
2585,2
2586,0
2587,2
2588,0
2589,3
2590,0
2591,2
2592,0
2593,0
2594,0
2595,0
2596,2
2597,1
2598,0
2599,1
2600,0
2601,1
2602,3
2603,2
2604,1
2605,0
2606,1
2607,0
2608,2
2609,3
2610,0
2611,0
2612,0
2613,2
2614,3
2615,3
2616,3
2617,0
2618,0
2619,0
2620,1
2621,0
2622,1
2623,1
2624,2
2625,2
2626,0
2627,0
2628,3
2629,1
2630,3
2631,0
2632,0
2633,0
2634,2
2635,0
2636,3
2637,0
2638,0
2639,0
2640,2
2641,1
2642,1
2643,2
2644,0
2645,0
2646,0
2647,3
2648,3
2649,1
2650,3
2651,1
2652,2
2653,1
2654,3
2655,0
2656,2
2657,2
2658,0
2659,2
2660,1
2661,0
2662,0
2663,1
2664,0
2665,2
2666,1
2667,1
2668,2
2669,3
2670,1
2671,0
2672,0
2673,0
2674,0
2675,0
2676,3
2677,0
2678,2
2679,1
2680,1
2681,1
2682,3
2683,0
2684,0
2685,3
2686,0
2687,0
2688,1
2689,0
2690,0
2691,2
2692,1
2693,0
2694,2
2695,0
2696,0
2697,0
2698,3
2699,0
2700,0
2701,1
2702,0
2703,3
2704,1
2705,1
2706,0
2707,3
2708,0
2709,3
2710,1
2711,0
2712,2
2713,0
2714,0
2715,2
2716,1
2717,1
2718,3
2719,1
2720,3
2721,0
2722,3
2723,0
2724,2
2725,0
2726,0
2727,0
2728,0
2729,3
2730,0
2731,1
2732,2
2733,2
2734,2
2735,0
2736,0
2737,2
2738,0
2739,0
2740,0
2741,0
2742,0
2743,0
2744,0
2745,1
2746,2
2747,3
2748,0
2749,1
2750,1
2751,3
2752,3
2753,3
2754,2
2755,0
2756,0
2757,1
2758,3
2759,0
2760,2
2761,2
2762,0
2763,1
2764,1
2765,0
2766,0
2767,2
2768,1
2769,0
2770,0
2771,3
2772,2
2773,0
2774,0
2775,0
2776,1
2777,3
2778,0
2779,2
2780,2
2781,2
2782,1
2783,1
2784,3
2785,3
2786,0
2787,1
2788,0
2789,2
2790,2
2791,1
2792,2
2793,0
2794,0
2795,0
2796,3
2797,2
2798,2
2799,0
2800,0
2801,0
2802,2
2803,3
2804,1
2805,2
2806,1
2807,0
2808,1
2809,2
2810,0
2811,1
2812,1
2813,3
2814,0
2815,1
2816,2
2817,2
2818,2
2819,2
2820,3
2821,2
2822,0
2823,3
2824,2
2825,0
2826,0
2827,1
2828,1
2829,0
2830,3
2831,2
2832,0
2833,3
2834,2
2835,1
2836,0
2837,1
2838,2
2839,0
2840,1
2841,1
2842,0
2843,0
2844,1
2845,0
2846,0
2847,2
2848,0
2849,0
2850,1
2851,0
2852,1
2853,0
2854,3
2855,2
2856,2
2857,1
2858,3
2859,1
2860,1
2861,0
2862,0
2863,0
2864,0
2865,2
2866,2
2867,1
2868,0
2869,0
2870,0
2871,0
2872,0
2873,1
2874,1
2875,2
2876,3
2877,1
2878,2
2879,0
2880,0
2881,1
2882,0
2883,1
2884,2
2885,1
2886,0
2887,1
2888,2
2889,0
2890,1
2891,1
2892,1
2893,2
2894,3
2895,0
2896,3
2897,0
2898,1
2899,0
2900,3
2901,1
2902,2
2903,0
2904,0
2905,1
2906,1
2907,1
2908,2
2909,0
2910,0
2911,3
2912,0
2913,1
2914,2
2915,1
2916,0
2917,3
2918,0
2919,2
2920,3
2921,1
2922,1
2923,0
2924,1
2925,0
2926,0
2927,1
2928,2
2929,1
2930,2
2931,0
2932,2
2933,0
2934,3
2935,0
2936,1
2937,0
2938,0
2939,2
2940,2
2941,0
2942,0
2943,1
2944,2
2945,0
2946,0
2947,2
2948,2
2949,3
2950,1
2951,0
2952,1
2953,1
2954,0
2955,0
2956,0
2957,0
2958,1
2959,0
2960,0
2961,0
2962,0
2963,3
2964,2
2965,2
2966,2
2967,0
2968,1
2969,2
2970,3
2971,2
2972,2
2973,2
2974,0
2975,0
2976,0
2977,2
2978,1
2979,3
2980,0
2981,3
2982,2
2983,0
2984,2
2985,2
2986,1
2987,2
2988,0
2989,0
2990,0
2991,0
2992,1
2993,1
2994,0
2995,0
2996,3
2997,0
